Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8170894526034713,0.8614958448753463,0.7814070351758794,0.8194993412384717
Naive Bayes,0.8197596795727636,0.8683473389355743,0.7788944723618091,0.8211920529801324
Decision Tree,0.9572763684913218,0.9668367346938775,0.9522613065326633,0.959493670886076
KNN,0.9532710280373832,0.9481481481481482,0.964824120603015,0.9564134495641345
SVM (RBF),0.8838451268357811,0.9560117302052786,0.8190954773869347,0.8822733423545331
Random Forest,0.9559412550066756,0.9620253164556962,0.9547738693467337,0.9583858764186634
Histogram Gradient Boosting,0.9586114819759679,0.9553349875930521,0.9673366834170855,0.9612983770287141
